question,entity,time,answer
Which team did Lukas Grozurek play for right after January 2013?,Lukas Grozurek,2013-01,FC Admira Wacker Mödling
Which employer did Grace Hopper work for right after January 1943?,Grace Hopper,1943-01,Bureau of Ships
Which employer did Grace Hopper work for right after January 1966?,Grace Hopper,1966-01,Naval Sea Systems Command
Which team did Bill Brown play for right after January 1961?,Bill Brown,1961-01,Charlton Athletic F.C.
Which team did Bill Brown play for right after January 1962?,Bill Brown,1962-01,Romford F.C.
Which team did Bill Brown play for right after January 1965?,Bill Brown,1965-01,Gillingham F.C.
Which team did Bill Brown play for right after January 1968?,Bill Brown,1968-01,Portsmouth F.C.
Which team did Bill Brown play for right after January 1969?,Bill Brown,1969-01,Margate F.C.
Which position did Olusegun Obasanjo hold right after February 1976?,Olusegun Obasanjo,1976-02,President of Nigeria
Who was the head of Isabela right after June 1992?,Isabela,1992-06,Benjamin Dy
Who was the head of Isabela right after June 2010?,Isabela,2010-06,Faustino G. Dy III
Who was the head of Isabela right after June 2019?,Isabela,2019-06,Rodolfo T. Albano III
Which team did Ernie Thompson play for right after January 1929?,Ernie Thompson,1929-01,Bristol City F.C.
Which team did Ernie Thompson play for right after January 1936?,Ernie Thompson,1936-01,Manchester United F.C.
Which team did Ernie Thompson play for right after January 1938?,Ernie Thompson,1938-01,Gateshead F.C.
Who was the head coach of the team Pittsburgh Steelers right after January 2007?,Pittsburgh Steelers,2007-01,Mike Tomlin
Which team did Nol van der Vin play for right after January 1954?,Nol van der Vin,1954-01,Fortuna '54
Which team did Alessandro Piacenti play for right after January 2013?,Alessandro Piacenti,2013-01,Parma Calcio 1913
Who was the chair of National Police of Ukraine right after November 2016?,National Police of Ukraine,2016-11,Vadym Troyan
Which employer did Michael Atwood Mason work for right after January 1994?,Michael Atwood Mason,1994-01,National Museum of Natural History
Which employer did Michael Atwood Mason work for right after January 2013?,Michael Atwood Mason,2013-01,Smithsonian Center for Folklife and Cultural Heritage
Which employer did Thierry Roland work for right after January 1968?,Thierry Roland,1968-01,France Inter
Which employer did Thierry Roland work for right after January 1975?,Thierry Roland,1975-01,RTL
Which employer did Thierry Roland work for right after January 1984?,Thierry Roland,1984-01,TF1
"Where was William Penney, Baron Penney educated right after January 1929?","William Penney, Baron Penney",1929-01,University of Groningen
"Where was William Penney, Baron Penney educated right after January 1931?","William Penney, Baron Penney",1931-01,University of Wisconsin–Madison
"Where was William Penney, Baron Penney educated right after January 1933?","William Penney, Baron Penney",1933-01,University of Cambridge
Which employer did Faye McLeod work for right after January 2005?,Faye McLeod,2005-01,Aston Martin Heritage Trust Museum
Which employer did Faye McLeod work for right after January 2011?,Faye McLeod,2011-01,Keble College
Which employer did Faye McLeod work for right after January 2020?,Faye McLeod,2020-01,Bodleian Libraries
Who was the chair of University of Limoges right after March 2012?,University of Limoges,2012-03,Hélène Pauliat
Which political party did Nicolás Salmerón y Alonso belong to right after January 1903?,Nicolás Salmerón y Alonso,1903-01,Republican Union
Who was the chair of Ministry of Transport and Communications right after January 2020?,Ministry of Transport and Communications,2020-01,Knut Arild Hareide
Which position did Daniel Scioli hold right after December 2007?,Daniel Scioli,2007-12,Governor of Buenos Aires Province
Which position did Daniel Scioli hold right after May 2020?,Daniel Scioli,2020-05,ambassador of Argentina to Brazil
Where was Joëlle Elvinger educated right after January 1999?,Joëlle Elvinger,1999-01,Paul Cézanne University
Where was Joëlle Elvinger educated right after January 2003?,Joëlle Elvinger,2003-01,Queen Mary University of London
Which employer did George Philbrook work for right after January 1922?,George Philbrook,1922-01,University of Idaho
Which employer did George Philbrook work for right after January 1929?,George Philbrook,1929-01,"University of Nevada, Reno"
Who was the owner of Woman with a Parrot right after January 1870?,Woman with a Parrot,1870-01,Jules Bordet
Who was the owner of Woman with a Parrot right after April 1898?,Woman with a Parrot,1898-04,Henry Osborne Havemeyer
Which position did George Willey hold right after February 1950?,George Willey,1950-02,Member of the 39th Parliament of the United Kingdom
Which position did George Willey hold right after October 1951?,George Willey,1951-10,Member of the 40th Parliament of the United Kingdom
Which political party did Takeo Miki belong to right after January 1947?,Takeo Miki,1947-01,National Cooperative Party
Which political party did Takeo Miki belong to right after January 1950?,Takeo Miki,1950-01,National Democratic Party (Japan)
Which political party did Takeo Miki belong to right after January 1952?,Takeo Miki,1952-01,Kaishintō
Which political party did Takeo Miki belong to right after January 1954?,Takeo Miki,1954-01,Japan Democratic Party
Which political party did Takeo Miki belong to right after January 1955?,Takeo Miki,1955-01,Liberal Democratic Party
Which employer did Tom Meschery work for right after January 1967?,Tom Meschery,1967-01,Seattle SuperSonics
Which employer did Tom Meschery work for right after January 1971?,Tom Meschery,1971-01,Carolina Cougars
Which employer did Richard Feynman work for right after January 1945?,Richard Feynman,1945-01,Cornell University
Which team did Jason Price play for right after January 2006?,Jason Price,2006-01,Doncaster Rovers F.C.
Which team did Jason Price play for right after January 2009?,Jason Price,2009-01,Millwall F.C.
Which team did Jason Price play for right after January 2010?,Jason Price,2010-01,Bradford City A.F.C.
Which team did Jason Price play for right after January 2014?,Jason Price,2014-01,Brighouse Town F.C.
Which employer did Wolfgang Rindler work for right after January 1949?,Wolfgang Rindler,1949-01,University of London
Which employer did Wolfgang Rindler work for right after January 1956?,Wolfgang Rindler,1956-01,Cornell University
Who was the head coach of the team Levadiakos F.C. right after January 2019?,Levadiakos F.C.,2019-01,Sotiris Antoniou
Who was the head coach of the team Levadiakos F.C. right after February 2021?,Levadiakos F.C.,2021-02,Giannis Taousianis
Which team did Dzhambulad Bazayev play for right after January 2004?,Dzhambulad Bazayev,2004-01,Rubin Kazan
Which position did Chris Ruane hold right after May 2001?,Chris Ruane,2001-05,Member of the 53rd Parliament of the United Kingdom
Which position did Chris Ruane hold right after April 2010?,Chris Ruane,2010-04,Member of the 55th Parliament of the United Kingdom
Which team did Mike McCartney play for right after January 1987?,Mike McCartney,1987-01,Gretna F.C.
Which employer did John R. Kirtley work for right after January 1978?,John R. Kirtley,1978-01,IBM Thomas J. Watson Research Center
Which employer did John R. Kirtley work for right after February 2006?,John R. Kirtley,2006-02,Stanford University
Which team did Christophe Samson play for right after January 2007?,Christophe Samson,2007-01,ASM Clermont Auvergne
Which team did Christophe Samson play for right after January 2010?,Christophe Samson,2010-01,RC Toulonnais
Which team did Paul Hinshelwood play for right after January 1980?,Paul Hinshelwood,1980-01,Oxford United F.C.
Which team did Paul Hinshelwood play for right after January 1986?,Paul Hinshelwood,1986-01,Colchester United F.C.
Which employer did Sonja Brentjes work for right after January 1997?,Sonja Brentjes,1997-01,Goethe University Frankfurt
Which employer did Sonja Brentjes work for right after January 2002?,Sonja Brentjes,2002-01,University of Oklahoma
Which position did Andreas Cappelen hold right after August 1963?,Andreas Cappelen,1963-08,Foreign Minister of Norway
Which position did Andreas Cappelen hold right after August 1972?,Andreas Cappelen,1972-08,Minister of Justice and Public Security
Which position did Richard Ryder hold right after May 1796?,Richard Ryder,1796-05,Member of the 18th Parliament of Great Britain
Which position did Richard Ryder hold right after January 1801?,Richard Ryder,1801-01,Member of the 1st Parliament of the United Kingdom
Which position did Richard Ryder hold right after June 1802?,Richard Ryder,1802-06,Member of the 2nd Parliament of the United Kingdom
Which position did Richard Ryder hold right after October 1806?,Richard Ryder,1806-10,Member of the 3rd Parliament of the United Kingdom
Which position did Richard Ryder hold right after April 1807?,Richard Ryder,1807-04,Member of the 4th Parliament of the United Kingdom
Which position did Richard Ryder hold right after June 1812?,Richard Ryder,1812-06,Member of the 5th Parliament of the United Kingdom
Which position did Richard Ryder hold right after February 1820?,Richard Ryder,1820-02,Member of the 7th Parliament of the United Kingdom
Which position did Richard Ryder hold right after June 1826?,Richard Ryder,1826-06,Member of the 8th Parliament of the United Kingdom
Where was Princess Eugenie educated right after January 1995?,Princess Eugenie,1995-01,"St George's School, Windsor Castle"
Where was Princess Eugenie educated right after January 2008?,Princess Eugenie,2008-01,Newcastle University
Who was the owner of i right after November 2018?,i,2018-11,JPIMedia
Who was the chair of International Ski Federation right after January 1934?,International Ski Federation,1934-01,Nikolai Ramm Østgaard
Who was the chair of International Ski Federation right after January 1998?,International Ski Federation,1998-01,Gian-Franco Kasper
Who was the chair of International Ski Federation right after January 2021?,International Ski Federation,2021-01,Johan Eliasch
Which employer did Paul Stäckel work for right after January 1895?,Paul Stäckel,1895-01,University of Königsberg
Which employer did Paul Stäckel work for right after January 1905?,Paul Stäckel,1905-01,Leibniz University Hannover
Which employer did Paul Stäckel work for right after January 1908?,Paul Stäckel,1908-01,Karlsruhe Institute of Technology
Which employer did Paul Stäckel work for right after January 1912?,Paul Stäckel,1912-01,Heidelberg University
Which employer did Jean Vercoutter work for right after January 1945?,Jean Vercoutter,1945-01,National Center for Scientific Research
Which employer did Jean Vercoutter work for right after January 1955?,Jean Vercoutter,1955-01,University of Lille
Who was the chair of Civic Choice right after March 2013?,Civic Choice,2013-03,Mario Monti
Who was the chair of Civic Choice right after April 2014?,Civic Choice,2014-04,Renato Balduzzi
Who was the chair of Civic Choice right after September 2014?,Civic Choice,2014-09,Salvatore Matarrese
Who was the chair of Civic Choice right after July 2016?,Civic Choice,2016-07,Mariano Rabino
Who was the head coach of the team Clube Desportivo das Aves right after May 2012?,Clube Desportivo das Aves,2012-05,Augusto Inácio
Who was the head coach of the team Clube Desportivo das Aves right after October 2019?,Clube Desportivo das Aves,2019-10,Nuno Manta Santos
Who was the head coach of the team FK Bodø/Glimt right after January 2015?,FK Bodø/Glimt,2015-01,Aasmund Bjørkan
Who was the head coach of the team FK Bodø/Glimt right after January 2017?,FK Bodø/Glimt,2017-01,Kjetil Knutsen
Which team did Djamel Bouaïcha play for right after January 2010?,Djamel Bouaïcha,2010-01,USM Annaba
Which team did Djamel Bouaïcha play for right after January 2011?,Djamel Bouaïcha,2011-01,MC El Eulma
Which team did Djamel Bouaïcha play for right after January 2014?,Djamel Bouaïcha,2014-01,RC Arbaâ
